prefix_queries,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,front_2_5,4,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,5,consensus_distance,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,5,entropy,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,5,top1_mass,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,6,consensus_distance,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,6,entropy,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,6,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,7,consensus_distance,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,7,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,8,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
1,front_2_5,9,top1_mass,0.25,0.25,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,9,consensus_distance,1.0,0.25,0.75,0.75,0.75,0.11764705882352941,0.8235294117647058,4,4
3,front_2_5,7,top1_mass,0.75,0.0,0.75,0.75,0.75,0.13725490196078433,0.8235294117647058,4,4
3,back_12_15,8,consensus_distance,0.75,0.25,0.5,0.5,0.5,0.23529411764705882,1.0,4,4
3,front_2_5,0,entropy,0.5,1.0,-0.5,-0.5,-0.5,0.2549019607843137,1.0,4,4
3,front_2_5,1,entropy,0.5,1.0,-0.5,-0.5,-0.5,0.2549019607843137,1.0,4,4
3,front_2_5,2,entropy,0.5,1.0,-0.5,-0.5,-0.5,0.2549019607843137,1.0,4,4
3,back_12_15,2,token_dispersion,1.0,0.5,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,back_12_15,4,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,back_12_15,4,token_dispersion,0.75,0.25,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,back_12_15,5,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,back_12_15,5,token_dispersion,0.75,0.25,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,back_12_15,6,token_dispersion,0.75,0.25,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,front_2_5,6,top1_mass,0.75,0.25,0.5,0.5,0.5,0.27450980392156865,1.0,4,4
3,front_2_5,5,top1_mass,0.75,0.25,0.5,0.5,0.5,0.29411764705882354,1.0,4,4
3,front_2_5,8,entropy,0.25,0.75,-0.5,-0.5,-0.5,0.29411764705882354,1.0,4,4
3,front_2_5,8,token_dispersion,0.75,0.25,0.5,0.5,0.5,0.29411764705882354,1.0,4,4
3,front_2_5,9,entropy,0.25,0.75,-0.5,-0.5,-0.5,0.29411764705882354,1.0,4,4
3,front_2_5,9,token_dispersion,0.75,0.25,0.5,0.5,0.5,0.29411764705882354,1.0,4,4
3,back_12_15,1,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3137254901960784,1.0,4,4
3,front_2_5,2,token_dispersion,1.0,0.5,0.5,0.5,0.5,0.3137254901960784,1.0,4,4
3,front_2_5,7,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3137254901960784,1.0,4,4
3,front_2_5,8,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3137254901960784,1.0,4,4
3,front_2_5,0,token_dispersion,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,4,4
3,front_2_5,1,token_dispersion,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,4,4
3,front_2_5,3,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,4,4
3,front_2_5,4,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,4,4
3,front_2_5,5,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,4,4
3,front_2_5,6,consensus_distance,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,4,4
3,back_12_15,8,entropy,0.5,1.0,-0.5,-0.5,-0.5,0.39215686274509803,1.0,4,4
3,back_12_15,9,token_dispersion,0.75,0.5,0.25,0.25,0.25,0.6078431372549019,1.0,4,4
3,front_2_5,8,top1_mass,0.5,0.25,0.25,0.25,0.25,0.6666666666666666,1.0,4,4
3,back_12_15,3,token_dispersion,0.75,0.5,0.25,0.25,0.25,0.7058823529411765,1.0,4,4
3,back_12_15,6,consensus_distance,0.75,0.5,0.25,0.25,0.25,0.7058823529411765,1.0,4,4
3,front_2_5,9,consensus_distance,1.0,0.75,0.25,0.25,0.25,0.7058823529411765,1.0,4,4
3,back_12_15,7,token_dispersion,0.75,0.5,0.25,0.25,0.25,0.7254901960784313,1.0,4,4
3,back_12_15,8,top1_mass,0.5,0.25,0.25,0.25,0.25,0.7254901960784313,1.0,4,4
3,front_2_5,3,top1_mass,0.5,0.25,0.25,0.25,0.25,0.7254901960784313,1.0,4,4
3,front_2_5,9,top1_mass,0.75,0.5,0.25,0.25,0.25,0.7254901960784313,1.0,4,4
3,back_12_15,0,top1_mass,0.75,0.5,0.25,0.25,0.25,0.7450980392156863,1.0,4,4
3,back_12_15,6,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7450980392156863,1.0,4,4
3,back_12_15,9,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7450980392156863,1.0,4,4
3,back_12_15,0,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7647058823529411,1.0,4,4
3,back_12_15,1,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7647058823529411,1.0,4,4
3,back_12_15,2,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7647058823529411,1.0,4,4
3,back_12_15,7,consensus_distance,0.75,0.5,0.25,0.25,0.25,0.7647058823529411,1.0,4,4
3,back_12_15,7,top1_mass,0.75,0.5,0.25,0.25,0.25,0.7647058823529411,1.0,4,4
3,front_2_5,7,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7647058823529411,1.0,4,4
3,back_12_15,0,consensus_distance,0.75,0.5,0.25,0.25,0.25,0.7843137254901961,1.0,4,4
3,back_12_15,5,entropy,0.5,0.25,0.25,0.25,0.25,0.7843137254901961,1.0,4,4
3,front_2_5,5,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7843137254901961,1.0,4,4
3,front_2_5,6,entropy,0.5,0.75,-0.25,-0.25,-0.25,0.7843137254901961,1.0,4,4
3,front_2_5,7,token_dispersion,0.75,0.5,0.25,0.25,0.25,0.7843137254901961,1.0,4,4
3,back_12_15,1,top1_mass,0.75,0.5,0.25,0.25,0.25,0.803921568627451,1.0,4,4
3,back_12_15,2,consensus_distance,1.0,0.75,0.25,0.25,0.25,0.803921568627451,1.0,4,4
3,back_12_15,2,top1_mass,0.75,0.5,0.25,0.25,0.25,0.803921568627451,1.0,4,4
3,back_12_15,3,consensus_distance,1.0,0.75,0.25,0.25,0.25,0.803921568627451,1.0,4,4
3,back_12_15,3,top1_mass,0.75,0.5,0.25,0.25,0.25,0.803921568627451,1.0,4,4
3,back_12_15,1,token_dispersion,0.75,0.5,0.25,0.25,0.25,0.8235294117647058,1.0,4,4
3,front_2_5,0,consensus_distance,0.75,0.5,0.25,0.25,0.25,0.8235294117647058,1.0,4,4
3,front_2_5,1,consensus_distance,0.75,0.5,0.25,0.25,0.25,0.8235294117647058,1.0,4,4
3,front_2_5,2,consensus_distance,0.75,0.5,0.25,0.25,0.25,0.8235294117647058,1.0,4,4
3,back_12_15,0,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,3,entropy,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,4,entropy,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,4,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,5,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,6,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,7,entropy,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,8,token_dispersion,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,back_12_15,9,top1_mass,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,0,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,1,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,2,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,3,entropy,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,3,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,4,entropy,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,4,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,4,top1_mass,0.5,0.5,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,5,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
3,front_2_5,6,token_dispersion,0.75,0.75,0.0,0.0,0.0,1.0,1.0,4,4
