failure_type,prefix_queries,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
loop_or_cycling,1,front_2_5,3,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,5,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,front_2_5,7,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6274509803921569,1.0,6,6
loop_or_cycling,1,back_12_15,0,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,0,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,1,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,2,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,6,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,7,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,8,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,8,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,9,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,3,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,3,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,4,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,5,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,5,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,6,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,7,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,front_2_5,8,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,1,back_12_15,4,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,1,back_12_15,5,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,1,back_12_15,5,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.6666666666666666,1.0,6,6
loop_or_cycling,1,front_2_5,2,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,1,front_2_5,4,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,1,front_2_5,6,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,1,back_12_15,3,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.6862745098039216,1.0,6,6
loop_or_cycling,1,front_2_5,4,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6862745098039216,1.0,6,6
loop_or_cycling,1,front_2_5,9,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6862745098039216,1.0,6,6
loop_or_cycling,1,back_12_15,2,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.7058823529411765,1.0,6,6
loop_or_cycling,1,front_2_5,5,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.7058823529411765,1.0,6,6
loop_or_cycling,1,front_2_5,6,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.7058823529411765,1.0,6,6
loop_or_cycling,1,back_12_15,0,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.7254901960784313,1.0,6,6
loop_or_cycling,1,back_12_15,9,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.5,0.0,0.7450980392156863,1.0,6,6
loop_or_cycling,1,front_2_5,9,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.803921568627451,1.0,6,6
loop_or_cycling,1,front_2_5,9,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.803921568627451,1.0,6,6
loop_or_cycling,1,back_12_15,1,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,1,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,2,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,3,entropy,0.8333333333333334,0.8333333333333334,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,4,entropy,0.8333333333333334,0.8333333333333334,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,4,token_dispersion,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,4,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,5,entropy,0.8333333333333334,0.8333333333333334,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,5,token_dispersion,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,6,entropy,0.8333333333333334,0.8333333333333334,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,6,token_dispersion,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,6,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,7,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,7,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,8,entropy,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,9,entropy,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,6,6
loop_or_cycling,1,back_12_15,9,top1_mass,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,1,front_2_5,7,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,1,front_2_5,9,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,2,top1_mass,0.5,0.8333333333333334,-0.33333333333333337,-0.5,-0.25,0.17647058823529413,1.0,6,6
loop_or_cycling,3,front_2_5,9,entropy,0.6666666666666666,1.0,-0.33333333333333337,-1.0,0.0,0.17647058823529413,1.0,6,6
loop_or_cycling,3,front_2_5,0,top1_mass,0.5,0.8333333333333334,-0.33333333333333337,-0.5,-0.25,0.19607843137254902,1.0,6,6
loop_or_cycling,3,front_2_5,1,top1_mass,0.5,0.8333333333333334,-0.33333333333333337,-0.5,-0.25,0.19607843137254902,1.0,6,6
loop_or_cycling,3,front_2_5,7,top1_mass,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,0.23529411764705882,1.0,6,6
loop_or_cycling,3,back_12_15,1,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.5882352941176471,1.0,6,6
loop_or_cycling,3,back_12_15,5,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.5882352941176471,1.0,6,6
loop_or_cycling,3,front_2_5,1,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.6078431372549019,1.0,6,6
loop_or_cycling,3,front_2_5,5,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6078431372549019,1.0,6,6
loop_or_cycling,3,back_12_15,4,entropy,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-1.0,0.25,0.6274509803921569,1.0,6,6
loop_or_cycling,3,front_2_5,0,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.6274509803921569,1.0,6,6
loop_or_cycling,3,front_2_5,3,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,3,front_2_5,4,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6470588235294118,1.0,6,6
loop_or_cycling,3,front_2_5,9,consensus_distance,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.6470588235294118,1.0,6,6
loop_or_cycling,3,front_2_5,1,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,3,front_2_5,2,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.6666666666666666,1.0,6,6
loop_or_cycling,3,front_2_5,2,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6666666666666666,1.0,6,6
loop_or_cycling,3,front_2_5,3,entropy,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.0,0.25,0.6666666666666666,1.0,6,6
loop_or_cycling,3,back_12_15,8,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6862745098039216,1.0,6,6
loop_or_cycling,3,front_2_5,4,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.6862745098039216,1.0,6,6
loop_or_cycling,3,front_2_5,9,token_dispersion,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.6862745098039216,1.0,6,6
loop_or_cycling,3,back_12_15,9,top1_mass,0.8333333333333334,1.0,-0.16666666666666663,-0.5,0.0,0.7058823529411765,1.0,6,6
loop_or_cycling,3,front_2_5,6,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.7058823529411765,1.0,6,6
loop_or_cycling,3,front_2_5,9,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.7058823529411765,1.0,6,6
loop_or_cycling,3,back_12_15,0,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.7254901960784313,1.0,6,6
loop_or_cycling,3,back_12_15,0,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.7254901960784313,1.0,6,6
loop_or_cycling,3,back_12_15,1,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.7254901960784313,1.0,6,6
loop_or_cycling,3,back_12_15,9,consensus_distance,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.7254901960784313,1.0,6,6
loop_or_cycling,3,back_12_15,9,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.7254901960784313,1.0,6,6
loop_or_cycling,3,front_2_5,8,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.7254901960784313,1.0,6,6
loop_or_cycling,3,back_12_15,7,top1_mass,0.8333333333333334,0.6666666666666666,0.16666666666666674,-0.25,1.0,0.7647058823529411,1.0,6,6
loop_or_cycling,3,front_2_5,0,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.7647058823529411,1.0,6,6
loop_or_cycling,3,front_2_5,5,entropy,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-1.0,0.25,0.7647058823529411,1.0,6,6
loop_or_cycling,3,front_2_5,6,entropy,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-1.0,0.25,0.7647058823529411,1.0,6,6
loop_or_cycling,3,front_2_5,7,entropy,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-1.0,0.25,0.7843137254901961,1.0,6,6
loop_or_cycling,3,front_2_5,8,entropy,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-1.0,0.25,0.7843137254901961,1.0,6,6
loop_or_cycling,3,back_12_15,8,top1_mass,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.803921568627451,1.0,6,6
loop_or_cycling,3,front_2_5,3,token_dispersion,0.6666666666666666,0.8333333333333334,-0.16666666666666674,-0.25,0.0,0.803921568627451,1.0,6,6
loop_or_cycling,3,back_12_15,0,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,0,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,1,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,1,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,2,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,2,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,2,token_dispersion,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,2,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,3,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,3,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,3,token_dispersion,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,3,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,4,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,4,token_dispersion,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,4,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,5,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,5,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,5,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,6,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,6,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,6,token_dispersion,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,6,top1_mass,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,7,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,7,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,7,token_dispersion,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,8,consensus_distance,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,8,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,back_12_15,9,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,0,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,1,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,2,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,3,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,4,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,4,entropy,0.6666666666666666,0.6666666666666666,0.0,-0.5,0.25,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,5,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,5,token_dispersion,0.6666666666666666,0.6666666666666666,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,6,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,6,token_dispersion,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,7,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,7,token_dispersion,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,8,consensus_distance,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
loop_or_cycling,3,front_2_5,8,token_dispersion,0.8333333333333334,0.8333333333333334,0.0,-0.25,0.5,1.0,1.0,6,6
