stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
grid,A,loop_vs_other,back,9,both,5,main,,0.6409202958093674,150,36,,,
grid,A,loop_vs_other,back,9,both,8,main,,0.5932621199671323,150,36,,,
grid,A,loop_vs_other,back,9,both,10,main,,0.6557107641741988,150,36,,,
grid,A,loop_vs_other,back,0,state,3,main,,0.6598192276088742,150,36,,,
grid,A,loop_vs_other,back,0,state,5,main,,0.5891536565324569,150,36,,,
grid,A,loop_vs_other,back,0,state,8,main,,0.6450287592440427,150,36,,,
grid,A,loop_vs_other,back,0,state,10,main,,0.6014790468364831,150,36,,,
grid,A,loop_vs_other,back,0,action,3,main,,0.6828266228430567,150,36,,,
grid,A,loop_vs_other,back,0,action,5,main,,0.7000821692686935,150,36,,,
grid,A,loop_vs_other,back,0,action,8,main,,0.6820049301561216,150,36,,,
grid,A,loop_vs_other,back,0,action,10,main,,0.7345932621199671,150,36,,,
grid,A,loop_vs_other,back,0,both,3,main,,0.637633525061627,150,36,,,
grid,A,loop_vs_other,back,0,both,5,main,,0.6836483155299918,150,36,,,
grid,A,loop_vs_other,back,0,both,8,main,,0.6795398520953163,150,36,,,
grid,A,loop_vs_other,back,0,both,10,main,,0.6614626129827444,150,36,,,
grid,A,loop_vs_other,front,9,state,3,main,,0.5603944124897289,150,36,,,
grid,A,loop_vs_other,front,9,state,5,main,,0.5817584223500412,150,36,,,
grid,A,loop_vs_other,front,9,state,8,main,,0.5456039441248973,150,36,,,
grid,A,loop_vs_other,front,9,state,10,main,,0.5957271980279375,150,36,,,
grid,A,loop_vs_other,front,9,action,3,main,,0.76253081347576,150,36,,,
grid,A,loop_vs_other,front,9,action,5,main,,0.7674609695973705,150,36,,,
grid,A,loop_vs_other,front,9,action,8,main,,0.666392769104355,150,36,,,
grid,A,loop_vs_other,front,9,action,10,main,,0.6491372226787182,150,36,,,
grid,A,loop_vs_other,front,9,both,3,main,,0.7296631059983566,150,36,,,
grid,A,loop_vs_other,front,9,both,5,main,,0.6532456861133936,150,36,,,
grid,A,loop_vs_other,front,9,both,8,main,,0.6203779786359901,150,36,,,
grid,A,loop_vs_other,front,9,both,10,main,,0.6023007395234182,150,36,,,
grid,A,loop_vs_other,front,0,state,3,main,,0.5603944124897289,150,36,,,
grid,A,loop_vs_other,front,0,state,5,main,,0.5817584223500412,150,36,,,
grid,A,loop_vs_other,front,0,state,8,main,,0.5447822514379622,150,36,,,
grid,A,loop_vs_other,front,0,state,10,main,,0.5957271980279375,150,36,,,
grid,A,loop_vs_other,front,0,action,3,main,,0.5866885784716516,150,36,,,
grid,A,loop_vs_other,front,0,action,5,main,,0.686113393590797,150,36,,,
grid,A,loop_vs_other,front,0,action,8,main,,0.5932621199671323,150,36,,,
grid,A,loop_vs_other,front,0,action,10,main,,0.6236647493837305,150,36,,,
grid,A,loop_vs_other,front,0,both,3,main,,0.5727198027937551,150,36,,,
grid,A,loop_vs_other,front,0,both,5,main,,0.610517666392769,150,36,,,
grid,A,loop_vs_other,front,0,both,8,main,,0.5488907148726376,150,36,,,
grid,A,loop_vs_other,front,0,both,10,main,,0.5916187345932621,150,36,,,
grid,B,stagnation_vs_loop,back,9,state,3,main,,1.0,128,41,,,
grid,B,stagnation_vs_loop,back,9,state,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,state,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,state,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,action,3,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,action,5,main,,0.9912790697674418,128,41,,,
grid,B,stagnation_vs_loop,back,9,action,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,action,10,main,,0.997093023255814,128,41,,,
grid,B,stagnation_vs_loop,back,9,both,3,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,both,5,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,both,8,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,9,both,10,main,,0.9941860465116279,128,41,,,
grid,B,stagnation_vs_loop,back,0,state,3,main,,1.0,128,41,,,
