stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
grid,A,stagnation_vs_loop,front,9,both,8,main,,0.9903354178510517,49,150,,,
grid,A,stagnation_vs_loop,front,9,both,10,main,,0.9891984081864695,49,150,,,
grid,A,stagnation_vs_loop,front,0,state,3,main,,0.9914724275156339,49,150,,,
grid,A,stagnation_vs_loop,front,0,state,5,main,,0.992040932347925,49,150,,,
grid,A,stagnation_vs_loop,front,0,state,8,main,,0.9903354178510517,49,150,,,
grid,A,stagnation_vs_loop,front,0,state,10,main,,0.9909039226833428,49,150,,,
grid,A,stagnation_vs_loop,front,0,action,3,main,,0.6856168277430358,49,150,,,
grid,A,stagnation_vs_loop,front,0,action,5,main,,0.7208641273450824,49,150,,,
grid,A,stagnation_vs_loop,front,0,action,8,main,,0.6878908470722002,49,150,,,
grid,A,stagnation_vs_loop,front,0,action,10,main,,0.6606026151222285,49,150,,,
grid,A,stagnation_vs_loop,front,0,both,3,main,,0.9909039226833428,49,150,,,
grid,A,stagnation_vs_loop,front,0,both,5,main,,0.992040932347925,49,150,,,
grid,A,stagnation_vs_loop,front,0,both,8,main,,0.9891984081864695,49,150,,,
grid,A,stagnation_vs_loop,front,0,both,10,main,,0.9863558840250142,49,150,,,
grid,A,stagnation_vs_other,back,9,state,3,main,,0.8987161198288159,49,36,,,
grid,A,stagnation_vs_other,back,9,state,5,main,,0.8958630527817404,49,36,,,
grid,A,stagnation_vs_other,back,9,state,8,main,,0.8202567760342369,49,36,,,
grid,A,stagnation_vs_other,back,9,state,10,main,,0.8074179743223966,49,36,,,
grid,A,stagnation_vs_other,back,9,action,3,main,,0.8887303851640513,49,36,,,
grid,A,stagnation_vs_other,back,9,action,5,main,,0.8787446504992867,49,36,,,
grid,A,stagnation_vs_other,back,9,action,8,main,,0.8074179743223966,49,36,,,
grid,A,stagnation_vs_other,back,9,action,10,main,,0.7988587731811697,49,36,,,
grid,A,stagnation_vs_other,back,9,both,3,main,,0.8873038516405135,49,36,,,
grid,A,stagnation_vs_other,back,9,both,5,main,,0.8887303851640513,49,36,,,
grid,A,stagnation_vs_other,back,9,both,8,main,,0.7960057061340942,49,36,,,
grid,A,stagnation_vs_other,back,9,both,10,main,,0.7960057061340942,49,36,,,
grid,A,stagnation_vs_other,back,0,state,3,main,,0.8987161198288159,49,36,,,
grid,A,stagnation_vs_other,back,0,state,5,main,,0.8958630527817404,49,36,,,
grid,A,stagnation_vs_other,back,0,state,8,main,,0.8174037089871612,49,36,,,
grid,A,stagnation_vs_other,back,0,state,10,main,,0.8102710413694721,49,36,,,
grid,A,stagnation_vs_other,back,0,action,3,main,,0.8587731811697575,49,36,,,
grid,A,stagnation_vs_other,back,0,action,5,main,,0.7831669044222539,49,36,,,
grid,A,stagnation_vs_other,back,0,action,8,main,,0.8002853067047075,49,36,,,
grid,A,stagnation_vs_other,back,0,action,10,main,,0.7803138373751783,49,36,,,
grid,A,stagnation_vs_other,back,0,both,3,main,,0.9001426533523538,49,36,,,
grid,A,stagnation_vs_other,back,0,both,5,main,,0.8359486447931527,49,36,,,
grid,A,stagnation_vs_other,back,0,both,8,main,,0.7874465049928673,49,36,,,
grid,A,stagnation_vs_other,back,0,both,10,main,,0.7788873038516405,49,36,,,
grid,A,stagnation_vs_other,front,9,state,3,main,,0.9215406562054208,49,36,,,
grid,A,stagnation_vs_other,front,9,state,5,main,,0.8787446504992867,49,36,,,
grid,A,stagnation_vs_other,front,9,state,8,main,,0.8516405135520685,49,36,,,
grid,A,stagnation_vs_other,front,9,state,10,main,,0.9044222539229672,49,36,,,
grid,A,stagnation_vs_other,front,9,action,3,main,,0.8102710413694721,49,36,,,
grid,A,stagnation_vs_other,front,9,action,5,main,,0.7446504992867332,49,36,,,
grid,A,stagnation_vs_other,front,9,action,8,main,,0.738944365192582,49,36,,,
grid,A,stagnation_vs_other,front,9,action,10,main,,0.7132667617689016,49,36,,,
grid,A,stagnation_vs_other,front,9,both,3,main,,0.9087018544935807,49,36,,,
grid,A,stagnation_vs_other,front,9,both,5,main,,0.8316690442225392,49,36,,,
grid,A,stagnation_vs_other,front,9,both,8,main,,0.833095577746077,49,36,,,
grid,A,stagnation_vs_other,front,9,both,10,main,,0.81169757489301,49,36,,,
grid,A,stagnation_vs_other,front,0,state,3,main,,0.9215406562054208,49,36,,,
grid,A,stagnation_vs_other,front,0,state,5,main,,0.8787446504992867,49,36,,,
grid,A,stagnation_vs_other,front,0,state,8,main,,0.8516405135520685,49,36,,,
grid,A,stagnation_vs_other,front,0,state,10,main,,0.9029957203994294,49,36,,,
grid,A,stagnation_vs_other,front,0,action,3,main,,0.48216833095577744,49,36,,,
grid,A,stagnation_vs_other,front,0,action,5,main,,0.5592011412268189,49,36,,,
grid,A,stagnation_vs_other,front,0,action,8,main,,0.572039942938659,49,36,,,
grid,A,stagnation_vs_other,front,0,action,10,main,,0.4921540656205421,49,36,,,
grid,A,stagnation_vs_other,front,0,both,3,main,,0.854493580599144,49,36,,,
grid,A,stagnation_vs_other,front,0,both,5,main,,0.818830242510699,49,36,,,
grid,A,stagnation_vs_other,front,0,both,8,main,,0.7546362339514978,49,36,,,
grid,A,stagnation_vs_other,front,0,both,10,main,,0.7788873038516405,49,36,,,
grid,A,loop_vs_other,back,9,state,3,main,,0.6606409202958093,150,36,,,
grid,A,loop_vs_other,back,9,state,5,main,,0.5891536565324569,150,36,,,
grid,A,loop_vs_other,back,9,state,8,main,,0.6442070665571077,150,36,,,
grid,A,loop_vs_other,back,9,state,10,main,,0.6039441248972884,150,36,,,
grid,A,loop_vs_other,back,9,action,3,main,,0.6754313886606409,150,36,,,
grid,A,loop_vs_other,back,9,action,5,main,,0.6639276910435498,150,36,,,
grid,A,loop_vs_other,back,9,action,8,main,,0.5932621199671323,150,36,,,
grid,A,loop_vs_other,back,9,action,10,main,,0.6606409202958093,150,36,,,
