window,target,cv,scope,model,fold,heldout_groups,rank,feature_index,feature,family,training_effect_sigma
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,2,w00_s004;w01_s003;w02_s003;w03_s003,3,721,action_token_dispersion|front_2_5|d0|phase_late,token_disagreement,0.7504532137681709
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,2,w00_s004;w01_s003;w02_s003;w03_s003,4,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.6815499790370144
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.7995046508876659
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,2,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.703375925177802
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,3,995,state_denoise_motion|front_2_5|d5_to_d6|query_change,denoise_soft_motion,0.6875373717080433
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,4,943,state_action_gap|back_12_15|d7|phase_late,state_action_mismatch,0.6700449093316818
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.9196868919722249
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,2,1386,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_mean,denoise_hard_switch,0.7241334311965852
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,3,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.7199409175219451
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,4,106,state_entropy|back_12_15|d7|phase_slope,state_confidence,-0.681760783186345
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,1,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.8262777959847866
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,2,456,action_entropy|back_12_15|d6|phase_mean,action_confidence,-0.8046894489320046
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,3,210,state_top1|back_12_15|d5|phase_mean,state_confidence,0.7775004528547271
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,4,1275,action_denoise_motion|back_12_15|d7_to_d8|phase_std,denoise_soft_motion,0.7555351140945405
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,1,414,action_entropy|front_2_5|d9|phase_mean,action_confidence,-1.0127894030723301
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,2,777,action_token_dispersion|front_2_5|d9|phase_std,token_disagreement,0.931454910791994
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,3,1014,state_denoise_motion|back_12_15|d0_to_d1|phase_mean,denoise_soft_motion,0.7143403633385207
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,4,192,state_top1|back_12_15|d2|phase_mean,state_confidence,0.6446080976003289
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,1,487,action_top1|front_2_5|d1|phase_late,action_confidence,0.9292699077753643
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,2,1279,action_denoise_motion|back_12_15|d8_to_d9|phase_late,denoise_soft_motion,0.7859786557431102
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,3,721,action_token_dispersion|front_2_5|d0|phase_late,token_disagreement,0.7504532137681709
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,4,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.6815499790370144
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.7995046508876659
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,2,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.703375925177802
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,3,995,state_denoise_motion|front_2_5|d5_to_d6|query_change,denoise_soft_motion,0.6875373717080433
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,4,943,state_action_gap|back_12_15|d7|phase_late,state_action_mismatch,0.6700449093316818
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,4,w00_s002;w01_s001;w02_s001;w03_s001,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.9196868919722249
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,4,w00_s002;w01_s001;w02_s001;w03_s001,2,1386,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_mean,denoise_hard_switch,0.7241334311965852
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,4,w00_s002;w01_s001;w02_s001;w03_s001,3,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.7199409175219451
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,4,w00_s002;w01_s001;w02_s001;w03_s001,4,106,state_entropy|back_12_15|d7|phase_slope,state_confidence,-0.681760783186345
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,1,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.8262777959847866
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,2,456,action_entropy|back_12_15|d6|phase_mean,action_confidence,-0.8046894489320046
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,3,210,state_top1|back_12_15|d5|phase_mean,state_confidence,0.7775004528547271
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,4,1275,action_denoise_motion|back_12_15|d7_to_d8|phase_std,denoise_soft_motion,0.7555351140945405
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,1,414,action_entropy|front_2_5|d9|phase_mean,action_confidence,-1.0127894030723301
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,2,777,action_token_dispersion|front_2_5|d9|phase_std,token_disagreement,0.931454910791994
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,3,1014,state_denoise_motion|back_12_15|d0_to_d1|phase_mean,denoise_soft_motion,0.7143403633385207
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,4,192,state_top1|back_12_15|d2|phase_mean,state_confidence,0.6446080976003289
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,2,w00_s004;w01_s003;w02_s003;w03_s003,1,487,action_top1|front_2_5|d1|phase_late,action_confidence,0.9292699077753643
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,2,w00_s004;w01_s003;w02_s003;w03_s003,2,1279,action_denoise_motion|back_12_15|d8_to_d9|phase_late,denoise_soft_motion,0.7859786557431102
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,2,w00_s004;w01_s003;w02_s003;w03_s003,3,721,action_token_dispersion|front_2_5|d0|phase_late,token_disagreement,0.7504532137681709
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,2,w00_s004;w01_s003;w02_s003;w03_s003,4,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.6815499790370144
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,3,w00_s003;w01_s002;w02_s002;w03_s002,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.7995046508876659
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,3,w00_s003;w01_s002;w02_s002;w03_s002,2,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.703375925177802
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,3,w00_s003;w01_s002;w02_s002;w03_s002,3,995,state_denoise_motion|front_2_5|d5_to_d6|query_change,denoise_soft_motion,0.6875373717080433
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,3,w00_s003;w01_s002;w02_s002;w03_s002,4,943,state_action_gap|back_12_15|d7|phase_late,state_action_mismatch,0.6700449093316818
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,4,w00_s002;w01_s001;w02_s001;w03_s001,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.9196868919722249
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,4,w00_s002;w01_s001;w02_s001;w03_s001,2,1386,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_mean,denoise_hard_switch,0.7241334311965852
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,4,w00_s002;w01_s001;w02_s001;w03_s001,3,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.7199409175219451
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,4,w00_s002;w01_s001;w02_s001;w03_s001,4,106,state_entropy|back_12_15|d7|phase_slope,state_confidence,-0.681760783186345
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,1,1727,hard_route|action|front_2_5|d7|return_fraction,query_recurrence,0.48777758829934326
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,2,1711,hard_route|action|front_2_5|d6|adjacent_late,query_persistence,0.4754396019084374
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,1,1832,hard_route|action|back_12_15|d6|adjacent_delta,query_persistence,0.5419525986778324
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,2,1745,soft_route|action|front_2_5|d9|return_fraction,query_recurrence,0.5015681943923965
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,2,w00_s004;w01_s003;w02_s003;w03_s003,1,1632,soft_route|action|front_2_5|d0|adjacent_mean,query_persistence,0.5175320724667867
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,2,w00_s004;w01_s003;w02_s003;w03_s003,2,1635,soft_route|action|front_2_5|d0|return_advantage_mean,query_recurrence,0.48061046241696903
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,3,w00_s003;w01_s002;w02_s002;w03_s002,1,1832,hard_route|action|back_12_15|d6|adjacent_delta,query_persistence,0.4234204905663838
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,3,w00_s003;w01_s002;w02_s002;w03_s002,2,1397,soft_route|state|front_2_5|d0|return_fraction,query_recurrence,-0.4108852359983636
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,4,w00_s002;w01_s001;w02_s001;w03_s001,1,1832,hard_route|action|back_12_15|d6|adjacent_delta,query_persistence,0.50011523188902
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,4,w00_s002;w01_s001;w02_s001;w03_s001,2,1841,soft_route|action|back_12_15|d7|return_fraction,query_recurrence,0.45585883902097174
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,1,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.8262777928781354
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,2,456,action_entropy|back_12_15|d6|phase_mean,action_confidence,-0.8046894489320046
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,3,210,state_top1|back_12_15|d5|phase_mean,state_confidence,0.7775004528547271
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,4,1275,action_denoise_motion|back_12_15|d7_to_d8|phase_std,denoise_soft_motion,0.7555351140945405
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,1,414,action_entropy|front_2_5|d9|phase_mean,action_confidence,-1.0127894030723301
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,2,777,action_token_dispersion|front_2_5|d9|phase_std,token_disagreement,0.931454910791994
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,3,1014,state_denoise_motion|back_12_15|d0_to_d1|phase_mean,denoise_soft_motion,0.714340356791301
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,4,192,state_top1|back_12_15|d2|phase_mean,state_confidence,0.6446080976003289
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,2,w00_s004;w01_s003;w02_s003;w03_s003,1,487,action_top1|front_2_5|d1|phase_late,action_confidence,0.9292699077753643
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,2,w00_s004;w01_s003;w02_s003;w03_s003,2,1279,action_denoise_motion|back_12_15|d8_to_d9|phase_late,denoise_soft_motion,0.7859786557431102
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,2,w00_s004;w01_s003;w02_s003;w03_s003,3,721,action_token_dispersion|front_2_5|d0|phase_late,token_disagreement,0.7504532137681709
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,2,w00_s004;w01_s003;w02_s003;w03_s003,4,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.6815499790370144
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.7995046508876659
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,2,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.703375925177802
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,3,995,state_denoise_motion|front_2_5|d5_to_d6|query_change,denoise_soft_motion,0.6875373691754967
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,3,w00_s003;w01_s002;w02_s002;w03_s002,4,943,state_action_gap|back_12_15|d7|phase_late,state_action_mismatch,0.6700449093316818
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.9196868919722249
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,2,1386,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_mean,denoise_hard_switch,0.7241334311965852
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,3,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.7199409152401892
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,4,w00_s002;w01_s001;w02_s001;w03_s001,4,106,state_entropy|back_12_15|d7|phase_slope,state_confidence,-0.6817607814897216
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,1,946,state_action_gap|back_12_15|d7|phase_slope,state_action_mismatch,0.8262777928781354
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,2,456,action_entropy|back_12_15|d6|phase_mean,action_confidence,-0.8046894489320046
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,3,210,state_top1|back_12_15|d5|phase_mean,state_confidence,0.7775004528547271
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,0,w00_s001;w01_s000;w02_s000;w03_s000;w03_s005,4,1275,action_denoise_motion|back_12_15|d7_to_d8|phase_std,denoise_soft_motion,0.7555351140945405
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,1,414,action_entropy|front_2_5|d9|phase_mean,action_confidence,-1.0127894030723301
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,2,777,action_token_dispersion|front_2_5|d9|phase_std,token_disagreement,0.931454910791994
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,3,1014,state_denoise_motion|back_12_15|d0_to_d1|phase_mean,denoise_soft_motion,0.714340356791301
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,1,w00_s000;w00_s005;w01_s004;w02_s004;w03_s004,4,192,state_top1|back_12_15|d2|phase_mean,state_confidence,0.6446080976003289
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,1,487,action_top1|front_2_5|d1|phase_late,action_confidence,0.9292699077753643
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,2,1279,action_denoise_motion|back_12_15|d8_to_d9|phase_late,denoise_soft_motion,0.7859786557431102
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,3,721,action_token_dispersion|front_2_5|d0|phase_late,token_disagreement,0.7504532137681709
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,2,w00_s004;w01_s003;w02_s003;w03_s003,4,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.6815499790370144
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.7995046508876659
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,2,1387,action_denoise_hard_switch|back_12_15|d8_to_d9|phase_late,denoise_hard_switch,0.703375925177802
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,3,995,state_denoise_motion|front_2_5|d5_to_d6|query_change,denoise_soft_motion,0.6875373691754967
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,3,w00_s003;w01_s002;w02_s002;w03_s002,4,943,state_action_gap|back_12_15|d7|phase_late,state_action_mismatch,0.6700449093316818
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,4,w00_s002;w01_s001;w02_s001;w03_s001,1,493,action_top1|front_2_5|d2|phase_late,action_confidence,0.9196868919722249
