method,alpha,recall,fpr,t_det
clock_q7,0.01,0.0,0.0,1.0
clock_q7,0.03,1.0,0.026061363579090918,0.7670510045510045
clock_q7,0.05,1.0,0.051272033974290955,0.7189588189588189
clock_q7,0.1,1.0,0.06775521192668561,0.6628510378510378
clock_q7,0.15,1.0,0.07211048303868904,0.6425185925185924
clock_q7,0.2,1.0,0.10487191399286389,0.586517649017649
dyn_pca2_success_knn_k20,0.01,0.0,0.0,1.0
dyn_pca2_success_knn_k20,0.03,0.837490512910681,0.04478442634831192,0.7290187867338168
dyn_pca2_success_knn_k20,0.05,0.8775509815425782,0.05578164693865514,0.6996651193309682
dyn_pca2_success_knn_k20,0.1,0.9233030819165272,0.08928631449562192,0.6207709335923646
dyn_pca2_success_knn_k20,0.15,0.9574979564475363,0.10656402832836971,0.595177697597043
dyn_pca2_success_knn_k20,0.2,0.9750643847282503,0.1276374856135353,0.5672967407200943
dyn_radius,0.01,0.0,0.0,1.0
dyn_radius,0.03,0.8238328276143402,0.035002355330449875,0.7734573881737625
dyn_radius,0.05,0.8420824351496621,0.0406409245038627,0.7587767779713824
dyn_radius,0.1,0.9036248982887639,0.06737446079765495,0.6993208468639655
dyn_radius,0.15,0.9249395138785895,0.0896840746499325,0.6718518759661807
dyn_radius,0.2,0.9428439110687009,0.11671164509573463,0.6413145167403287
dyn_radius_outward,0.01,0.0,0.0,1.0
dyn_radius_outward,0.03,0.7490620218561395,0.015859626942371315,0.8033674318156869
dyn_radius_outward,0.05,0.7551288716729894,0.0265321207554014,0.7859466686177843
dyn_radius_outward,0.1,0.8730121403650816,0.058677124570515916,0.7323078950986215
dyn_radius_outward,0.15,0.8984434154392137,0.07003007364705036,0.7069447625343445
dyn_radius_outward,0.2,0.9211181391748618,0.09096671130594451,0.6720125083393677
dyn_success_knn_k1,0.01,0.0,0.0,1.0
dyn_success_knn_k1,0.03,0.8794590485766957,0.05773110108079784,0.6697199872418036
dyn_success_knn_k1,0.05,0.9032395009285765,0.07931078055712239,0.625705856582884
dyn_success_knn_k1,0.1,0.9830222687365544,0.1318478870507329,0.548665643704355
dyn_success_knn_k1,0.15,0.9995421245421245,0.16097145232522692,0.5149808375189612
dyn_success_knn_k1,0.2,1.0,0.2096230488364366,0.4800100467138821
dyn_success_knn_k20,0.01,0.0,0.0,1.0
dyn_success_knn_k20,0.03,0.8557192107612276,0.048975090297133074,0.6879012057738478
dyn_success_knn_k20,0.05,0.9226630823269479,0.05988528052410233,0.6410504575555823
dyn_success_knn_k20,0.1,0.9810637930385829,0.10979209603435312,0.5430337693218318
dyn_success_knn_k20,0.15,0.9929394834857019,0.14006298237672302,0.514676932962226
dyn_success_knn_k20,0.2,0.9946401637578108,0.18122912798446209,0.48359016328461096
dyn_success_knn_k20_persist3,0.01,0.0,0.0,1.0
dyn_success_knn_k20_persist3,0.03,0.8881116549183776,0.048983390012819684,0.6896142178039325
dyn_success_knn_k20_persist3,0.05,0.927438069244792,0.05978029673609158,0.6690674842791354
