corpus,event,stratum,n,n_pos,base_rate,auc_tier1,auc_routing
B2,disp1_m1,sel_on_routing_x0.5-2.0,1665,35,0.11340574851370078,0.8291894579811039,0.6417205370462457
B2,disp1_m2,sel_on_tier1_x0.5-2.0,1896,36,0.13280570931881605,0.6739382239382239,0.7127413127413127
B2,disp1_m2,sel_on_routing_x0.5-2.0,2516,41,0.13280570931881605,0.6996623695518723,0.5910067526089625
B2,drop2_m2,sel_on_tier1_x0.5-2.0,122,67,0.4358589647411853,0.7361111111111112,0.7916666666666666
B2,drop2_m2,sel_on_routing_x0.5-2.0,113,61,0.4358589647411853,0.55,0.5590909090909091
B2,drop2_m4,sel_on_tier1_x0.5-2.0,1806,1730,0.6665410700828938,0.9441548771407298,0.9509803921568627
B2,drop2_m4,sel_on_routing_x0.75-1.33,105,65,0.6665410700828938,0.7551020408163265,0.6394557823129252
B2,drop2_m4,sel_on_routing_x0.5-2.0,1818,1722,0.6665410700828938,0.9621029352633695,0.9560715721753116
B2,dropfail1_m2,sel_on_routing_x0.5-2.0,128,32,0.10732647814910026,0.7509157509157509,0.5384615384615384
B2,grip_m1,sel_on_routing_x0.5-2.0,2183,37,0.055428903491126905,0.8979484481851657,0.6072242679291601
B2,grip_m2,sel_on_tier1_x0.5-2.0,1342,45,0.11272244841941534,0.7641486519310178,0.695895069225164
B2,grip_m2,sel_on_routing_x0.5-2.0,2040,63,0.11272244841941534,0.8846197567352506,0.6686370353529613
B2,jext_m2,sel_on_tier1_x0.5-2.0,1837,45,0.02003751315247724,0.6627376425855513,0.8361216730038022
B2,jext_m2,sel_on_routing_x0.75-1.33,953,30,0.02003751315247724,0.6918238993710691,0.6058700209643606
B2,jext_m2,sel_on_routing_x0.5-2.0,2383,72,0.02003751315247724,0.7373150105708245,0.6247357293868923
B2,tilt1_m4,sel_on_routing_x0.5-2.0,2847,39,0.03522918166546676,0.8687509004466215,0.7016280074917159
B2,tilt2_m4,sel_on_tier1_x0.5-2.0,2721,58,0.01343892488600912,0.5306752330561855,0.644620811287478
B2,tilt2_m4,sel_on_routing_x0.5-2.0,3137,46,0.01343892488600912,0.661588683351469,0.5823099642468522
B2,whichpot_m2,sel_on_routing_x0.5-2.0,4197,4160,0.5896092865232163,0.9994933630560341,0.9964535413922383
B2,whichpot_m4,sel_on_tier1_x0.5-2.0,5474,5236,0.605387906116314,0.9962737435244933,0.9711702003349736
B2,whichpot_m4,sel_on_routing_x0.5-2.0,6167,5236,0.605387906116314,0.9990923236514523,0.9900236644190872
