coverage_status,primary_physical_pattern,n
both,stalled_at_unfinished_pot1,59
both,active_at_unfinished_pot1,14
both,return_to_completed_pot2_proxy,11
both,drawer_subgoal_regression,10
both,ramekin_displacement_interference_proxy,3
both,placed_object_goal_loss,2
both,bowl_transport_loss_proxy,1
full_only,return_to_completed_pot2_proxy,28
full_only,active_at_unfinished_pot1,25
full_only,bowl_transport_loss_proxy,5
full_only,other_long_incomplete,3
full_only,placed_object_goal_loss,3
full_only,drawer_subgoal_regression,2
full_only,ongoing_bowl_placement_failure,1
full_only,ramekin_displacement_interference_proxy,1
trap_only,bowl_never_transported,4
trap_only,drawer_subgoal_regression,3
trap_only,active_at_unfinished_pot1,1
uncovered,bowl_never_transported,15
uncovered,other_long_incomplete,9
uncovered,bowl_transport_loss_proxy,5
uncovered,placed_object_goal_loss,4
uncovered,drawer_subgoal_regression,2
uncovered,active_at_unfinished_pot1,1
