split,worker,snapshot,snapshot_key,candidate,episode_id,failure,frozen_state_top1_mass
discovery,0,0,w00_s000,0,100000000,True,0.15661801397800446
discovery,0,0,w00_s000,1,100000001,True,0.15685869753360748
discovery,0,0,w00_s000,2,100000002,True,0.157129168510437
discovery,0,0,w00_s000,3,100000003,False,0.15685869753360748
discovery,0,0,w00_s000,4,100000004,False,0.1568533182144165
discovery,0,0,w00_s000,5,100000005,True,0.15685869753360748
discovery,0,0,w00_s000,6,100000006,True,0.15664418041706085
discovery,0,0,w00_s000,7,100000007,False,0.15661801397800446
discovery,0,0,w00_s000,8,100000008,False,0.1568533182144165
discovery,0,0,w00_s000,9,100000009,True,0.15661801397800446
discovery,0,0,w00_s000,10,100000010,False,0.15685869753360748
discovery,0,0,w00_s000,11,100000011,True,0.1568533182144165
discovery,0,0,w00_s000,12,100000012,False,0.1566140353679657
discovery,0,0,w00_s000,13,100000013,False,0.15661801397800446
discovery,0,0,w00_s000,14,100000014,True,0.15661801397800446
discovery,0,0,w00_s000,15,100000015,True,0.15685869753360748
discovery,0,1,w00_s001,0,100000100,False,0.153499037027359
discovery,0,1,w00_s001,1,100000101,False,0.153499037027359
discovery,0,1,w00_s001,2,100000102,True,0.153499037027359
discovery,0,1,w00_s001,3,100000103,True,0.153499037027359
discovery,0,1,w00_s001,4,100000104,True,0.1535244584083557
discovery,0,1,w00_s001,5,100000105,True,0.153499037027359
discovery,0,1,w00_s001,6,100000106,True,0.153499037027359
discovery,0,1,w00_s001,7,100000107,False,0.1535244584083557
discovery,0,1,w00_s001,8,100000108,True,0.153499037027359
discovery,0,1,w00_s001,9,100000109,True,0.1535244584083557
discovery,0,1,w00_s001,10,100000110,True,0.153499037027359
discovery,0,1,w00_s001,11,100000111,True,0.1535244584083557
discovery,0,1,w00_s001,12,100000112,False,0.1535244584083557
discovery,0,1,w00_s001,13,100000113,True,0.1535244584083557
discovery,0,1,w00_s001,14,100000114,True,0.153499037027359
discovery,0,1,w00_s001,15,100000115,True,0.1535244584083557
discovery,0,2,w00_s002,0,100000200,True,0.13622058928012848
discovery,0,2,w00_s002,1,100000201,True,0.1362212747335434
discovery,0,2,w00_s002,2,100000202,True,0.1362188160419464
discovery,0,2,w00_s002,3,100000203,False,0.13621748983860016
discovery,0,2,w00_s002,4,100000204,False,0.13621748983860016
discovery,0,2,w00_s002,5,100000205,True,0.1362188160419464
discovery,0,2,w00_s002,6,100000206,True,0.1362212747335434
discovery,0,2,w00_s002,7,100000207,True,0.1362212747335434
discovery,0,2,w00_s002,8,100000208,False,0.13621748983860016
discovery,0,2,w00_s002,9,100000209,True,0.13621748983860016
discovery,0,2,w00_s002,10,100000210,True,0.13621748983860016
discovery,0,2,w00_s002,11,100000211,True,0.13621748983860016
discovery,0,2,w00_s002,12,100000212,True,0.13621748983860016
discovery,0,2,w00_s002,13,100000213,True,0.13622058928012848
discovery,0,2,w00_s002,14,100000214,True,0.13621748983860016
discovery,0,2,w00_s002,15,100000215,True,0.13621748983860016
discovery,1,0,w01_s000,0,200000000,True,0.135801300406456
discovery,1,0,w01_s000,1,200000001,True,0.135801300406456
discovery,1,0,w01_s000,2,200000002,True,0.135801300406456
discovery,1,0,w01_s000,3,200000003,True,0.135801300406456
discovery,1,0,w01_s000,4,200000004,True,0.135801300406456
discovery,1,0,w01_s000,5,200000005,True,0.135801300406456
discovery,1,0,w01_s000,6,200000006,True,0.135801300406456
discovery,1,0,w01_s000,7,200000007,True,0.13581542670726776
discovery,1,0,w01_s000,8,200000008,True,0.135801300406456
discovery,1,0,w01_s000,9,200000009,True,0.135801300406456
discovery,1,0,w01_s000,10,200000010,True,0.1358151137828827
discovery,1,0,w01_s000,11,200000011,True,0.13581542670726776
discovery,1,0,w01_s000,12,200000012,True,0.135801300406456
discovery,1,0,w01_s000,13,200000013,True,0.1358151137828827
discovery,1,0,w01_s000,14,200000014,True,0.135801300406456
discovery,1,0,w01_s000,15,200000015,True,0.135801300406456
discovery,1,1,w01_s001,0,200000100,True,0.170575350522995
discovery,1,1,w01_s001,1,200000101,True,0.170575350522995
discovery,1,1,w01_s001,2,200000102,True,0.170575350522995
discovery,1,1,w01_s001,3,200000103,True,0.170575350522995
discovery,1,1,w01_s001,4,200000104,True,0.170575350522995
discovery,1,1,w01_s001,5,200000105,True,0.170575350522995
discovery,1,1,w01_s001,6,200000106,True,0.170575350522995
discovery,1,1,w01_s001,7,200000107,True,0.170575350522995
discovery,1,1,w01_s001,8,200000108,True,0.170575350522995
discovery,1,1,w01_s001,9,200000109,True,0.170575350522995
discovery,1,1,w01_s001,10,200000110,True,0.170575350522995
discovery,1,1,w01_s001,11,200000111,True,0.170575350522995
discovery,1,1,w01_s001,12,200000112,True,0.170575350522995
discovery,1,1,w01_s001,13,200000113,True,0.170575350522995
discovery,1,1,w01_s001,14,200000114,True,0.170575350522995
discovery,1,1,w01_s001,15,200000115,True,0.170575350522995
discovery,1,2,w01_s002,0,200000200,True,0.15320388972759247
discovery,1,2,w01_s002,1,200000201,True,0.15321914851665497
discovery,1,2,w01_s002,2,200000202,True,0.15321914851665497
discovery,1,2,w01_s002,3,200000203,True,0.15321914851665497
