scope,suite,method,failure,episodes,unique_episodes,query,executed_action_steps,new_alarms,cumulative_alarms,cumulative_fraction,at_risk,new_alarm_rate,ended_without_alarm
seen,all,knn10,False,6469,5704,0,0,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,1,10,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,2,20,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,3,30,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,4,40,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,5,50,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,6,60,0,0,0.0,6469,0.0,0
seen,all,knn10,False,6469,5704,7,70,0,0,0.0,6437,0.0,32
seen,all,knn10,False,6469,5704,8,80,3,3,0.0004637501932292472,6076,0.0004937458854509546,393
seen,all,knn10,False,6469,5704,9,90,2,5,0.000772916988715412,5282,0.0003786444528587656,1184
seen,all,knn10,False,6469,5704,10,100,9,14,0.0021641675684031534,4727,0.001903955997461392,1737
seen,all,knn10,False,6469,5704,11,110,11,25,0.0038645849435770597,4410,0.002494331065759637,2045
seen,all,knn10,False,6469,5704,12,120,10,35,0.005410418921007884,3618,0.002763957987838585,2826
seen,all,knn10,False,6469,5704,13,130,5,40,0.006183335909723296,2633,0.0018989745537409798,3801
seen,all,knn10,False,6469,5704,14,140,1,41,0.006337919307466378,2178,0.0004591368227731864,4251
seen,all,knn10,False,6469,5704,15,150,2,43,0.006647086102952543,1858,0.001076426264800861,4570
seen,all,knn10,False,6469,5704,16,160,1,44,0.006801669500695625,1735,0.0005763688760806917,4691
seen,all,knn10,False,6469,5704,17,170,0,44,0.006801669500695625,1640,0.0,4785
seen,all,knn10,False,6469,5704,18,180,2,46,0.00711083629618179,1496,0.001336898395721925,4929
seen,all,knn10,False,6469,5704,19,190,1,47,0.007265419693924873,1407,0.0007107320540156361,5016
seen,all,knn10,False,6469,5704,20,200,1,48,0.007420003091667955,1375,0.0007272727272727272,5047
seen,all,knn10,False,6469,5704,21,210,1,49,0.007574586489411037,1303,0.0007674597083653108,5118
seen,all,knn10,False,6469,5704,22,220,2,51,0.007883753284897202,1190,0.0016806722689075631,5230
seen,all,knn10,False,6469,5704,23,230,1,52,0.008038336682640285,1027,0.0009737098344693282,5391
seen,all,knn10,False,6469,5704,24,240,3,55,0.008502086875869532,772,0.0038860103626943004,5645
seen,all,knn10,False,6469,5704,25,250,4,59,0.009120420466841861,509,0.007858546168958742,5905
seen,all,knn10,False,6469,5704,26,260,0,59,0.009120420466841861,340,0.0,6070
seen,all,knn10,False,6469,5704,27,270,2,61,0.009429587262328025,235,0.00851063829787234,6175
seen,all,knn10,False,6469,5704,28,280,0,61,0.009429587262328025,171,0.0,6237
seen,all,knn10,False,6469,5704,29,290,0,61,0.009429587262328025,154,0.0,6254
seen,all,knn10,False,6469,5704,30,300,0,61,0.009429587262328025,145,0.0,6263
seen,all,knn10,False,6469,5704,31,310,0,61,0.009429587262328025,137,0.0,6271
seen,all,knn10,False,6469,5704,32,320,3,64,0.009893337455557273,130,0.023076923076923078,6278
seen,all,knn10,False,6469,5704,33,330,3,67,0.01035708764878652,124,0.024193548387096774,6281
seen,all,knn10,False,6469,5704,34,340,1,68,0.010511671046529603,121,0.008264462809917356,6281
seen,all,knn10,False,6469,5704,35,350,1,69,0.010666254444272685,119,0.008403361344537815,6282
seen,all,knn10,False,6469,5704,36,360,0,69,0.010666254444272685,115,0.0,6285
seen,all,knn10,False,6469,5704,37,370,0,69,0.010666254444272685,104,0.0,6296
seen,all,knn10,False,6469,5704,38,380,0,69,0.010666254444272685,91,0.0,6309
seen,all,knn10,False,6469,5704,39,390,0,69,0.010666254444272685,49,0.0,6351
seen,all,knn10,False,6469,5704,40,400,0,69,0.010666254444272685,16,0.0,6384
seen,all,knn10,False,6469,5704,41,410,0,69,0.010666254444272685,12,0.0,6388
seen,all,knn10,False,6469,5704,42,420,0,69,0.010666254444272685,9,0.0,6391
seen,all,knn10,False,6469,5704,43,430,0,69,0.010666254444272685,6,0.0,6394
seen,all,knn10,False,6469,5704,44,440,0,69,0.010666254444272685,4,0.0,6396
seen,all,knn10,False,6469,5704,45,450,0,69,0.010666254444272685,3,0.0,6397
seen,all,knn10,False,6469,5704,46,460,0,69,0.010666254444272685,1,0.0,6399
seen,all,knn10,False,6469,5704,47,470,0,69,0.010666254444272685,1,0.0,6399
seen,all,knn10,False,6469,5704,48,480,0,69,0.010666254444272685,1,0.0,6399
seen,all,knn10,False,6469,5704,49,490,0,69,0.010666254444272685,1,0.0,6399
seen,all,knn10,False,6469,5704,50,500,0,69,0.010666254444272685,1,0.0,6399
seen,all,knn10,False,6469,5704,51,510,0,69,0.010666254444272685,0,,6400
seen,all,knn10,True,251,200,0,0,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,1,10,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,2,20,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,3,30,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,4,40,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,5,50,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,6,60,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,7,70,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,8,80,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,9,90,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,10,100,0,0,0.0,251,0.0,0
seen,all,knn10,True,251,200,11,110,12,12,0.04780876494023904,251,0.04780876494023904,0
seen,all,knn10,True,251,200,12,120,22,34,0.13545816733067728,239,0.09205020920502092,0
seen,all,knn10,True,251,200,13,130,23,57,0.22709163346613545,217,0.10599078341013825,0
seen,all,knn10,True,251,200,14,140,22,79,0.3147410358565737,194,0.1134020618556701,0
seen,all,knn10,True,251,200,15,150,15,94,0.3745019920318725,172,0.0872093023255814,0
seen,all,knn10,True,251,200,16,160,10,104,0.41434262948207173,157,0.06369426751592357,0
seen,all,knn10,True,251,200,17,170,5,109,0.4342629482071713,147,0.034013605442176874,0
seen,all,knn10,True,251,200,18,180,3,112,0.44621513944223107,142,0.02112676056338028,0
seen,all,knn10,True,251,200,19,190,2,114,0.4541832669322709,139,0.014388489208633094,0
seen,all,knn10,True,251,200,20,200,1,115,0.4581673306772908,137,0.0072992700729927005,0
seen,all,knn10,True,251,200,21,210,3,118,0.4701195219123506,136,0.022058823529411766,0
seen,all,knn10,True,251,200,22,220,12,130,0.5179282868525896,133,0.09022556390977443,0
seen,all,knn10,True,251,200,23,230,5,135,0.5378486055776892,121,0.04132231404958678,0
seen,all,knn10,True,251,200,24,240,1,136,0.5418326693227091,116,0.008620689655172414,0
seen,all,knn10,True,251,200,25,250,2,138,0.549800796812749,115,0.017391304347826087,0
seen,all,knn10,True,251,200,26,260,0,138,0.549800796812749,113,0.0,0
seen,all,knn10,True,251,200,27,270,3,141,0.5617529880478087,113,0.02654867256637168,0
seen,all,knn10,True,251,200,28,280,3,144,0.5737051792828686,106,0.02830188679245283,4
seen,all,knn10,True,251,200,29,290,0,144,0.5737051792828686,103,0.0,4
seen,all,knn10,True,251,200,30,300,4,148,0.5896414342629482,102,0.0392156862745098,5
seen,all,knn10,True,251,200,31,310,2,150,0.5976095617529881,98,0.02040816326530612,5
seen,all,knn10,True,251,200,32,320,6,156,0.6215139442231076,96,0.0625,5
seen,all,knn10,True,251,200,33,330,9,165,0.6573705179282868,90,0.1,5
seen,all,knn10,True,251,200,34,340,5,170,0.6772908366533864,81,0.06172839506172839,5
seen,all,knn10,True,251,200,35,350,6,176,0.701195219123506,76,0.07894736842105263,5
seen,all,knn10,True,251,200,36,360,5,181,0.7211155378486056,70,0.07142857142857142,5
seen,all,knn10,True,251,200,37,370,4,185,0.7370517928286853,65,0.06153846153846154,5
seen,all,knn10,True,251,200,38,380,1,186,0.7410358565737052,61,0.01639344262295082,5
seen,all,knn10,True,251,200,39,390,1,187,0.7450199203187251,60,0.016666666666666666,5
seen,all,knn10,True,251,200,40,400,1,188,0.749003984063745,59,0.01694915254237288,5
seen,all,knn10,True,251,200,41,410,1,189,0.7529880478087649,58,0.017241379310344827,5
seen,all,knn10,True,251,200,42,420,2,191,0.7609561752988048,57,0.03508771929824561,5
seen,all,knn10,True,251,200,43,430,1,192,0.7649402390438247,55,0.01818181818181818,5
seen,all,knn10,True,251,200,44,440,2,194,0.7729083665338645,54,0.037037037037037035,5
seen,all,knn10,True,251,200,45,450,0,194,0.7729083665338645,52,0.0,5
seen,all,knn10,True,251,200,46,460,0,194,0.7729083665338645,52,0.0,5
seen,all,knn10,True,251,200,47,470,0,194,0.7729083665338645,52,0.0,5
seen,all,knn10,True,251,200,48,480,0,194,0.7729083665338645,52,0.0,5
seen,all,knn10,True,251,200,49,490,0,194,0.7729083665338645,52,0.0,5
seen,all,knn10,True,251,200,50,500,0,194,0.7729083665338645,52,0.0,5
seen,all,knn10,True,251,200,51,510,0,194,0.7729083665338645,52,0.0,5
seen,libero_goal,knn10,False,1623,1471,0,0,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,1,10,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,2,20,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,3,30,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,4,40,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,5,50,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,6,60,0,0,0.0,1623,0.0,0
seen,libero_goal,knn10,False,1623,1471,7,70,0,0,0.0,1594,0.0,29
seen,libero_goal,knn10,False,1623,1471,8,80,3,3,0.0018484288354898336,1367,0.0021945866861741038,256
seen,libero_goal,knn10,False,1623,1471,9,90,0,3,0.0018484288354898336,816,0.0,804
seen,libero_goal,knn10,False,1623,1471,10,100,5,8,0.004929143561306223,620,0.008064516129032258,1000
seen,libero_goal,knn10,False,1623,1471,11,110,0,8,0.004929143561306223,613,0.0,1002
seen,libero_goal,knn10,False,1623,1471,12,120,2,10,0.0061614294516327784,497,0.004024144869215292,1118
seen,libero_goal,knn10,False,1623,1471,13,130,1,11,0.006777572396796057,289,0.0034602076124567475,1324
seen,libero_goal,knn10,False,1623,1471,14,140,0,11,0.006777572396796057,198,0.0,1414
seen,libero_goal,knn10,False,1623,1471,15,150,0,11,0.006777572396796057,165,0.0,1447
seen,libero_goal,knn10,False,1623,1471,16,160,1,12,0.0073937153419593345,159,0.006289308176100629,1453
seen,libero_goal,knn10,False,1623,1471,17,170,0,12,0.0073937153419593345,154,0.0,1457
seen,libero_goal,knn10,False,1623,1471,18,180,0,12,0.0073937153419593345,78,0.0,1533
seen,libero_goal,knn10,False,1623,1471,19,190,1,13,0.008009858287122612,31,0.03225806451612903,1580
seen,libero_goal,knn10,False,1623,1471,20,200,0,13,0.008009858287122612,20,0.0,1590
seen,libero_goal,knn10,False,1623,1471,21,210,0,13,0.008009858287122612,6,0.0,1604
seen,libero_goal,knn10,False,1623,1471,22,220,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,23,230,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,24,240,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,25,250,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,26,260,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,27,270,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,28,280,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,29,290,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,30,300,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,31,310,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,32,320,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,33,330,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,34,340,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,35,350,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,36,360,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,37,370,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,38,380,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,39,390,0,13,0.008009858287122612,0,,1610
seen,libero_goal,knn10,False,1623,1471,40,400,0,13,0.008009858287122612,0,,1610
