fold,suite,seed,method,view,scope,task,origin,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,seen,libero_goal/turn_on_the_stove,round5,80,0,,,,,0.6375,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,0.9989325242991179,0.991823896913739,0.9989325242991179,0.9916666666666667,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,0.998109365910413,0.9390144634920178,0.998109365910413,0.988095238095238,0.9725,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,full,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,0.6329113924050633,0.03333333333333333,0.6329113924050633,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,0.4069264069264069,0.04029304029304029,0.4069264069264069,0.3333333333333333,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,0.9704861111111112,0.8829545454545455,0.9704861111111112,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,seen,libero_goal/turn_on_the_stove,round5,80,0,,,,,0.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,0.6599808978032474,0.25513657336208795,0.6599808978032474,0.6961507936507937,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,0.5,0.045,0.5,0.5,0.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,0.539357772094345,0.027426399686910793,0.539357772094345,0.47301587301587295,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,seen,libero_goal/turn_on_the_stove,round5,80,0,,,,,0.6375,0
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,0.9988763413674926,0.9910557108514352,0.9988763413674926,0.9958333333333333,1.0,1
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,full,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,0.9979639325189064,0.9297552042327585,0.9979639325189064,0.988095238095238,0.9725,1
