alarms,tp,fp,recall,precision,median_lead,tp_lead0,fp_lead0,recall_lead0,tp_lead2,fp_lead2,recall_lead2,tp_lead4,fp_lead4,recall_lead4,tp_lead8,fp_lead8,recall_lead8,tp_lead12,fp_lead12,recall_lead12,thr,excess_tp,family,k,q_min,K,M
5447,487,4960,1.0,0.089407013034698,15.0,487,4960,1.0,487,3661,1.0,487,2520,1.0,487,1634,1.0,391,635,0.8028747433264887,44.47912098137108,0,cusum,-3.0,4,,
4945,487,4458,1.0,0.09848331648129424,15.0,487,4458,1.0,487,3369,1.0,487,2439,1.0,487,1477,1.0,375,585,0.7700205338809035,45.76160464673429,0,cusum,-3.0,4,,
4489,487,4002,1.0,0.10848741367787926,15.0,487,4002,1.0,487,3039,1.0,487,2355,1.0,478,1289,0.9815195071868583,358,533,0.7351129363449692,47.39256469417263,0,cusum,-3.0,4,,
4076,487,3589,1.0,0.11947988223748773,14.0,487,3589,1.0,487,2770,1.0,487,2271,1.0,467,1111,0.9589322381930184,340,491,0.6981519507186859,49.071061306515254,0,cusum,-3.0,4,,
3700,487,3213,1.0,0.1316216216216216,14.0,487,3213,1.0,487,2583,1.0,487,2177,1.0,448,959,0.919917864476386,316,457,0.648870636550308,50.752933502197266,0,cusum,-3.0,4,,
3359,487,2872,1.0,0.14498362607919024,13.0,487,2872,1.0,487,2429,1.0,487,2026,1.0,432,813,0.8870636550308009,299,417,0.6139630390143738,52.62586321237925,126,cusum,-3.0,4,,
3050,486,2564,0.997946611909651,0.15934426229508197,13.0,486,2564,0.997946611909651,486,2261,0.997946611909651,483,1760,0.9917864476386037,419,673,0.8603696098562629,285,380,0.5852156057494866,55.09283951166513,122,cusum,-3.0,4,,
2769,484,2285,0.9938398357289527,0.1747923438064283,13.0,484,2285,0.9938398357289527,484,2016,0.9938398357289527,468,1329,0.9609856262833676,406,551,0.8336755646817249,258,344,0.5297741273100616,58.3213497697985,107,cusum,-3.0,4,,
2514,484,2030,0.9938398357289527,0.19252187748607796,12.0,484,2030,0.9938398357289527,477,1688,0.9794661190965093,451,1001,0.9260780287474333,398,489,0.8172484599589322,247,328,0.5071868583162218,61.272130544507824,90,cusum,-3.0,4,,
2282,478,1804,0.9815195071868583,0.20946538124452235,12.0,478,1804,0.9815195071868583,466,1388,0.9568788501026694,430,833,0.8829568788501027,391,452,0.8028747433264887,241,319,0.4948665297741273,63.44897489857029,69,cusum,-3.0,4,,
2072,472,1600,0.9691991786447639,0.2277992277992278,12.0,472,1600,0.9691991786447639,462,1207,0.9486652977412731,422,735,0.86652977412731,383,426,0.7864476386036962,240,313,0.4928131416837782,64.90734802246092,61,cusum,-3.0,4,,
1881,466,1415,0.9568788501026694,0.2477405635300372,12.0,466,1415,0.9568788501026694,455,1068,0.9342915811088296,419,676,0.8603696098562629,375,404,0.7700205338809035,238,313,0.4887063655030801,66.17039832759548,58,cusum,-3.0,4,,
1707,460,1247,0.944558521560575,0.2694786174575278,12.5,460,1247,0.944558521560575,443,943,0.9096509240246407,412,614,0.8459958932238193,366,378,0.7515400410677618,236,310,0.48459958932238195,67.53297157648448,51,cusum,-3.0,4,,
1550,454,1096,0.9322381930184805,0.2929032258064516,12.0,454,1096,0.9322381930184805,431,856,0.8850102669404517,410,572,0.8418891170431212,358,361,0.7351129363449692,234,306,0.4804928131416838,68.84175736195333,49,cusum,-3.0,4,,
1407,445,962,0.9137577002053389,0.31627576403695806,17.0,445,962,0.9137577002053389,420,768,0.8624229979466119,410,540,0.8418891170431212,353,351,0.7248459958932238,231,298,0.47433264887063653,70.18983441842569,49,cusum,-3.0,4,,
1278,431,847,0.8850102669404517,0.33724569640062596,27.0,431,847,0.8850102669404517,416,686,0.8542094455852156,409,511,0.839835728952772,347,338,0.7125256673511293,229,291,0.4702258726899384,71.81356071987668,48,cusum,-3.0,4,,
1160,419,741,0.8603696098562629,0.3612068965517241,27.0,419,741,0.8603696098562629,413,615,0.8480492813141683,409,477,0.839835728952772,323,326,0.6632443531827515,228,284,0.4681724845995893,73.62061491270326,48,cusum,-3.0,4,,
1053,414,639,0.8501026694045175,0.39316239316239315,26.0,414,639,0.8501026694045175,410,554,0.8418891170431212,409,436,0.839835728952772,296,323,0.6078028747433265,227,274,0.46611909650924027,75.90875905939052,48,cusum,-3.0,4,,
956,410,546,0.8418891170431212,0.42887029288702927,25.0,410,546,0.8418891170431212,409,485,0.839835728952772,405,380,0.8316221765913757,266,317,0.5462012320328542,225,252,0.4620123203285421,79.0298606192099,44,cusum,-3.0,4,,
868,408,460,0.837782340862423,0.4700460829493088,24.0,408,460,0.837782340862423,406,405,0.8336755646817249,399,335,0.8193018480492813,241,292,0.4948665297741273,223,182,0.45790554414784396,83.25459472862462,75,cusum,-3.0,4,,
788,404,384,0.8295687885010267,0.5126903553299492,23.0,404,384,0.8295687885010267,404,346,0.8295687885010267,380,315,0.7802874743326489,236,259,0.48459958932238195,223,98,0.45790554414784396,87.67621536873479,158,cusum,-3.0,4,,
715,400,315,0.8213552361396304,0.5594405594405595,20.0,400,315,0.8213552361396304,394,292,0.8090349075975359,334,262,0.6858316221765913,229,157,0.4702258726899384,223,29,0.45790554414784396,95.30268816819068,112,cusum,-3.0,4,,
649,384,265,0.7885010266940452,0.5916795069337443,18.0,384,265,0.7885010266940452,358,242,0.7351129363449692,292,188,0.5995893223819302,226,61,0.46406570841889117,222,15,0.45585215605749485,102.18532015877828,70,cusum,-3.0,4,,
590,366,224,0.7515400410677618,0.6203389830508474,17.0,366,224,0.7515400410677618,335,184,0.6878850102669405,255,117,0.5236139630390144,223,35,0.45790554414784396,222,7,0.45585215605749485,106.95998962505442,33,cusum,-3.0,4,,
535,349,186,0.7166324435318275,0.6523364485981309,17.0,349,186,0.7166324435318275,315,147,0.6468172484599589,241,76,0.4948665297741273,223,25,0.45790554414784396,222,6,0.45585215605749485,109.64117470818599,19,cusum,-3.0,4,,
486,340,146,0.6981519507186859,0.6995884773662552,16.0,340,146,0.6981519507186859,305,98,0.6262833675564682,236,58,0.48459958932238195,223,19,0.45790554414784396,222,6,0.45585215605749485,112.2469509083516,14,cusum,-3.0,4,,
441,326,115,0.6694045174537988,0.7392290249433107,16.0,326,115,0.6694045174537988,302,77,0.6201232032854209,234,47,0.4804928131416838,223,18,0.45790554414784396,222,4,0.45585215605749485,113.93685180045462,12,cusum,-3.0,4,,
400,315,85,0.6468172484599589,0.7875,15.0,315,85,0.6468172484599589,288,61,0.5913757700205339,232,37,0.47638603696098564,223,15,0.45790554414784396,221,4,0.4537987679671458,115.76350691511833,10,cusum,-3.0,4,,
364,306,58,0.6283367556468172,0.8406593406593407,15.0,306,58,0.6283367556468172,264,46,0.5420944558521561,230,26,0.4722792607802875,222,8,0.45585215605749485,206,4,0.42299794661190965,118.70040721171615,8,cusum,-3.0,4,,
330,290,40,0.5954825462012321,0.8787878787878788,14.0,290,40,0.5954825462012321,249,27,0.5112936344969199,228,16,0.4681724845995893,220,7,0.4517453798767967,189,4,0.38809034907597534,122.04904059332769,228,cusum,-3.0,4,,
300,271,29,0.5564681724845996,0.9033333333333333,14.0,271,29,0.5564681724845996,236,23,0.48459958932238195,227,13,0.46611909650924027,219,5,0.44969199178644764,174,4,0.35728952772073924,123.97051883388208,227,cusum,-3.0,4,,
272,254,18,0.5215605749486653,0.9338235294117647,13.0,254,18,0.5215605749486653,231,11,0.47433264887063653,226,7,0.46406570841889117,214,5,0.4394250513347023,158,4,0.324435318275154,127.38503470755904,226,cusum,-3.0,4,,
247,236,11,0.48459958932238195,0.9554655870445344,12.5,236,11,0.48459958932238195,230,9,0.4722792607802875,223,6,0.45790554414784396,206,4,0.42299794661190965,149,2,0.3059548254620123,130.25578684214008,223,cusum,-3.0,4,,
224,218,6,0.44763860369609854,0.9732142857142857,9.0,218,6,0.44763860369609854,213,6,0.43737166324435317,193,4,0.39630390143737165,149,3,0.3059548254620123,30,0,0.061601642710472276,141.76474427919177,193,cusum,-3.0,4,,
204,199,5,0.4086242299794661,0.9754901960784313,8.0,199,5,0.4086242299794661,193,4,0.39630390143737165,171,4,0.351129363449692,120,1,0.2464065708418891,18,0,0.03696098562628337,146.31916576488692,171,cusum,-3.0,4,,
185,181,4,0.37166324435318276,0.9783783783783784,7.0,181,4,0.37166324435318276,169,3,0.3470225872689938,149,3,0.3059548254620123,71,0,0.1457905544147844,7,0,0.014373716632443531,151.61107826232916,149,cusum,-3.0,4,,
168,165,3,0.33880903490759756,0.9821428571428571,6.0,165,3,0.33880903490759756,156,3,0.3203285420944558,137,3,0.2813141683778234,37,0,0.07597535934291581,6,0,0.012320328542094456,154.8773561219912,137,cusum,-3.0,4,,
152,149,3,0.3059548254620123,0.9802631578947368,5.0,149,3,0.3059548254620123,143,3,0.2936344969199179,108,1,0.22176591375770022,19,0,0.039014373716632446,3,0,0.006160164271047228,159.74743504704645,108,cusum,-3.0,4,,
138,135,3,0.27720739219712526,0.9782608695652174,4.0,135,3,0.27720739219712526,121,3,0.24845995893223818,82,1,0.16837782340862423,14,0,0.028747433264887063,3,0,0.006160164271047228,163.29978891939732,82,cusum,-3.0,4,,
126,123,3,0.25256673511293637,0.9761904761904762,4.0,123,3,0.25256673511293637,111,2,0.22792607802874743,65,0,0.13347022587268995,7,0,0.014373716632443531,3,0,0.006160164271047228,165.57831946295684,65,cusum,-3.0,4,,
114,112,2,0.2299794661190965,0.9824561403508771,3.0,112,2,0.2299794661190965,89,1,0.18275154004106775,40,0,0.08213552361396304,6,0,0.012320328542094456,2,0,0.004106776180698152,169.16727044595257,40,cusum,-3.0,4,,
103,102,1,0.20944558521560575,0.9902912621359223,2.5,102,1,0.20944558521560575,79,1,0.162217659137577,28,0,0.057494866529774126,6,0,0.012320328542094456,2,0,0.004106776180698152,170.7660936458693,28,cusum,-3.0,4,,
94,93,1,0.19096509240246407,0.9893617021276596,2.0,93,1,0.19096509240246407,73,1,0.14989733059548255,25,0,0.0513347022587269,5,0,0.01026694045174538,2,0,0.004106776180698152,171.6567150054111,25,cusum,-3.0,4,,
85,84,1,0.17248459958932238,0.9882352941176471,2.0,84,1,0.17248459958932238,59,0,0.12114989733059549,21,0,0.043121149897330596,4,0,0.008213552361396304,2,0,0.004106776180698152,173.45199877764728,21,cusum,-3.0,4,,
77,76,1,0.15605749486652978,0.987012987012987,2.0,76,1,0.15605749486652978,50,0,0.1026694045174538,19,0,0.039014373716632446,4,0,0.008213552361396304,2,0,0.004106776180698152,174.27861986314886,19,cusum,-3.0,4,,
70,69,1,0.14168377823408623,0.9857142857142858,2.0,69,1,0.14168377823408623,42,0,0.08624229979466119,17,0,0.03490759753593429,3,0,0.006160164271047228,2,0,0.004106776180698152,175.5998988177325,17,cusum,-3.0,4,,
64,63,1,0.1293634496919918,0.984375,2.0,63,1,0.1293634496919918,39,0,0.08008213552361396,17,0,0.03490759753593429,3,0,0.006160164271047228,2,0,0.004106776180698152,176.1779285657729,17,cusum,-3.0,4,,
58,58,0,0.11909650924024641,1.0,2.0,58,0,0.11909650924024641,35,0,0.07186858316221766,15,0,0.030800821355236138,3,0,0.006160164271047228,2,0,0.004106776180698152,176.97790340320492,15,cusum,-3.0,4,,
53,53,0,0.10882956878850103,1.0,2.0,53,0,0.10882956878850103,31,0,0.06365503080082136,14,0,0.028747433264887063,3,0,0.006160164271047228,2,0,0.004106776180698152,177.4368590772474,14,cusum,-3.0,4,,
48,48,0,0.09856262833675565,1.0,2.0,48,0,0.09856262833675565,27,0,0.055441478439425054,14,0,0.028747433264887063,3,0,0.006160164271047228,2,0,0.004106776180698152,178.01866405590167,14,cusum,-3.0,4,,
43,43,0,0.08829568788501027,1.0,2.0,43,0,0.08829568788501027,23,0,0.04722792607802875,11,0,0.022587268993839837,3,0,0.006160164271047228,2,0,0.004106776180698152,179.16605502772967,11,cusum,-3.0,4,,
39,39,0,0.08008213552361396,1.0,2.0,39,0,0.08008213552361396,23,0,0.04722792607802875,11,0,0.022587268993839837,3,0,0.006160164271047228,2,0,0.004106776180698152,179.63832265493033,11,cusum,-3.0,4,,
36,36,0,0.07392197125256673,1.0,2.0,36,0,0.07392197125256673,22,0,0.045174537987679675,9,0,0.018480492813141684,3,0,0.006160164271047228,2,0,0.004106776180698152,180.27487520372557,9,cusum,-3.0,4,,
32,32,0,0.06570841889117043,1.0,2.0,32,0,0.06570841889117043,20,0,0.04106776180698152,8,0,0.01642710472279261,2,0,0.004106776180698152,2,0,0.004106776180698152,180.88223205566405,8,cusum,-3.0,4,,
29,29,0,0.059548254620123205,1.0,2.0,29,0,0.059548254620123205,19,0,0.039014373716632446,7,0,0.014373716632443531,2,0,0.004106776180698152,2,0,0.004106776180698152,181.04112574396913,7,cusum,-3.0,4,,
27,27,0,0.055441478439425054,1.0,2.0,27,0,0.055441478439425054,19,0,0.039014373716632446,7,0,0.014373716632443531,2,0,0.004106776180698152,2,0,0.004106776180698152,181.6121076305495,7,cusum,-3.0,4,,
24,24,0,0.049281314168377825,1.0,2.5,24,0,0.049281314168377825,17,0,0.03490759753593429,7,0,0.014373716632443531,2,0,0.004106776180698152,2,0,0.004106776180698152,182.36194538838262,7,cusum,-3.0,4,,
22,22,0,0.045174537987679675,1.0,2.0,22,0,0.045174537987679675,16,0,0.03285420944558522,5,0,0.01026694045174538,2,0,0.004106776180698152,1,0,0.002053388090349076,183.38730900326266,5,cusum,-3.0,4,,
20,20,0,0.04106776180698152,1.0,2.5,20,0,0.04106776180698152,15,0,0.030800821355236138,5,0,0.01026694045174538,2,0,0.004106776180698152,1,0,0.002053388090349076,184.04290686942434,5,cusum,-3.0,4,,
6000,487,5513,1.0,0.08116666666666666,16.0,487,5513,1.0,487,3925,1.0,487,2612,1.0,487,1758,1.0,402,678,0.8254620123203286,43.50261636682459,0,cusum,-3.0,6,,
5447,487,4960,1.0,0.089407013034698,15.0,487,4960,1.0,487,3661,1.0,487,2520,1.0,487,1634,1.0,391,635,0.8028747433264887,44.47912098137108,0,cusum,-3.0,6,,
4945,487,4458,1.0,0.09848331648129424,15.0,487,4458,1.0,487,3369,1.0,487,2439,1.0,487,1477,1.0,375,585,0.7700205338809035,45.76160464673429,0,cusum,-3.0,6,,
4489,487,4002,1.0,0.10848741367787926,15.0,487,4002,1.0,487,3039,1.0,487,2355,1.0,478,1289,0.9815195071868583,358,533,0.7351129363449692,47.39256469417263,0,cusum,-3.0,6,,
4076,487,3589,1.0,0.11947988223748773,14.0,487,3589,1.0,487,2770,1.0,487,2271,1.0,467,1111,0.9589322381930184,340,491,0.6981519507186859,49.071061306515254,0,cusum,-3.0,6,,
3700,487,3213,1.0,0.1316216216216216,14.0,487,3213,1.0,487,2583,1.0,487,2177,1.0,448,959,0.919917864476386,316,457,0.648870636550308,50.752933502197266,0,cusum,-3.0,6,,
3359,487,2872,1.0,0.14498362607919024,13.0,487,2872,1.0,487,2429,1.0,487,2026,1.0,432,813,0.8870636550308009,299,417,0.6139630390143738,52.62586321237925,126,cusum,-3.0,6,,
3050,486,2564,0.997946611909651,0.15934426229508197,13.0,486,2564,0.997946611909651,486,2261,0.997946611909651,483,1760,0.9917864476386037,419,673,0.8603696098562629,285,380,0.5852156057494866,55.09283951166513,122,cusum,-3.0,6,,
2769,484,2285,0.9938398357289527,0.1747923438064283,13.0,484,2285,0.9938398357289527,484,2016,0.9938398357289527,468,1329,0.9609856262833676,406,551,0.8336755646817249,258,344,0.5297741273100616,58.3213497697985,107,cusum,-3.0,6,,
2514,484,2030,0.9938398357289527,0.19252187748607796,12.0,484,2030,0.9938398357289527,477,1688,0.9794661190965093,451,1001,0.9260780287474333,398,489,0.8172484599589322,247,328,0.5071868583162218,61.272130544507824,90,cusum,-3.0,6,,
2282,478,1804,0.9815195071868583,0.20946538124452235,12.0,478,1804,0.9815195071868583,466,1388,0.9568788501026694,430,833,0.8829568788501027,391,452,0.8028747433264887,241,319,0.4948665297741273,63.44897489857029,69,cusum,-3.0,6,,
2072,472,1600,0.9691991786447639,0.2277992277992278,12.0,472,1600,0.9691991786447639,462,1207,0.9486652977412731,422,735,0.86652977412731,383,426,0.7864476386036962,240,313,0.4928131416837782,64.90734802246092,61,cusum,-3.0,6,,
1881,466,1415,0.9568788501026694,0.2477405635300372,12.0,466,1415,0.9568788501026694,455,1068,0.9342915811088296,419,676,0.8603696098562629,375,404,0.7700205338809035,238,313,0.4887063655030801,66.17039832759548,58,cusum,-3.0,6,,
1707,460,1247,0.944558521560575,0.2694786174575278,12.5,460,1247,0.944558521560575,443,943,0.9096509240246407,412,614,0.8459958932238193,366,378,0.7515400410677618,236,310,0.48459958932238195,67.53297157648448,51,cusum,-3.0,6,,
1550,454,1096,0.9322381930184805,0.2929032258064516,12.0,454,1096,0.9322381930184805,431,856,0.8850102669404517,410,572,0.8418891170431212,358,361,0.7351129363449692,234,306,0.4804928131416838,68.84175736195333,49,cusum,-3.0,6,,
1407,445,962,0.9137577002053389,0.31627576403695806,17.0,445,962,0.9137577002053389,420,768,0.8624229979466119,410,540,0.8418891170431212,353,351,0.7248459958932238,231,298,0.47433264887063653,70.18983441842569,49,cusum,-3.0,6,,
1278,431,847,0.8850102669404517,0.33724569640062596,27.0,431,847,0.8850102669404517,416,686,0.8542094455852156,409,511,0.839835728952772,347,338,0.7125256673511293,229,291,0.4702258726899384,71.81356071987668,48,cusum,-3.0,6,,
1160,419,741,0.8603696098562629,0.3612068965517241,27.0,419,741,0.8603696098562629,413,615,0.8480492813141683,409,477,0.839835728952772,323,326,0.6632443531827515,228,284,0.4681724845995893,73.62061491270326,48,cusum,-3.0,6,,
1053,414,639,0.8501026694045175,0.39316239316239315,26.0,414,639,0.8501026694045175,410,554,0.8418891170431212,409,436,0.839835728952772,296,323,0.6078028747433265,227,274,0.46611909650924027,75.90875905939052,48,cusum,-3.0,6,,
956,410,546,0.8418891170431212,0.42887029288702927,25.0,410,546,0.8418891170431212,409,485,0.839835728952772,405,380,0.8316221765913757,266,317,0.5462012320328542,225,252,0.4620123203285421,79.0298606192099,44,cusum,-3.0,6,,
868,408,460,0.837782340862423,0.4700460829493088,24.0,408,460,0.837782340862423,406,405,0.8336755646817249,399,335,0.8193018480492813,241,292,0.4948665297741273,223,182,0.45790554414784396,83.25459472862462,75,cusum,-3.0,6,,
788,404,384,0.8295687885010267,0.5126903553299492,23.0,404,384,0.8295687885010267,404,346,0.8295687885010267,380,315,0.7802874743326489,236,259,0.48459958932238195,223,98,0.45790554414784396,87.67621536873479,158,cusum,-3.0,6,,
715,400,315,0.8213552361396304,0.5594405594405595,20.0,400,315,0.8213552361396304,394,292,0.8090349075975359,334,262,0.6858316221765913,229,157,0.4702258726899384,223,29,0.45790554414784396,95.30268816819068,112,cusum,-3.0,6,,
649,384,265,0.7885010266940452,0.5916795069337443,18.0,384,265,0.7885010266940452,358,242,0.7351129363449692,292,188,0.5995893223819302,226,61,0.46406570841889117,222,15,0.45585215605749485,102.18532015877828,70,cusum,-3.0,6,,
590,366,224,0.7515400410677618,0.6203389830508474,17.0,366,224,0.7515400410677618,335,184,0.6878850102669405,255,117,0.5236139630390144,223,35,0.45790554414784396,222,7,0.45585215605749485,106.95998962505442,33,cusum,-3.0,6,,
535,349,186,0.7166324435318275,0.6523364485981309,17.0,349,186,0.7166324435318275,315,147,0.6468172484599589,241,76,0.4948665297741273,223,25,0.45790554414784396,222,6,0.45585215605749485,109.64117470818599,19,cusum,-3.0,6,,
486,340,146,0.6981519507186859,0.6995884773662552,16.0,340,146,0.6981519507186859,305,98,0.6262833675564682,236,58,0.48459958932238195,223,19,0.45790554414784396,222,6,0.45585215605749485,112.2469509083516,14,cusum,-3.0,6,,
441,326,115,0.6694045174537988,0.7392290249433107,16.0,326,115,0.6694045174537988,302,77,0.6201232032854209,234,47,0.4804928131416838,223,18,0.45790554414784396,222,4,0.45585215605749485,113.93685180045462,12,cusum,-3.0,6,,
400,315,85,0.6468172484599589,0.7875,15.0,315,85,0.6468172484599589,288,61,0.5913757700205339,232,37,0.47638603696098564,223,15,0.45790554414784396,221,4,0.4537987679671458,115.76350691511833,10,cusum,-3.0,6,,
364,306,58,0.6283367556468172,0.8406593406593407,15.0,306,58,0.6283367556468172,264,46,0.5420944558521561,230,26,0.4722792607802875,222,8,0.45585215605749485,206,4,0.42299794661190965,118.70040721171615,8,cusum,-3.0,6,,
330,290,40,0.5954825462012321,0.8787878787878788,14.0,290,40,0.5954825462012321,249,27,0.5112936344969199,228,16,0.4681724845995893,220,7,0.4517453798767967,189,4,0.38809034907597534,122.04904059332769,228,cusum,-3.0,6,,
300,271,29,0.5564681724845996,0.9033333333333333,14.0,271,29,0.5564681724845996,236,23,0.48459958932238195,227,13,0.46611909650924027,219,5,0.44969199178644764,174,4,0.35728952772073924,123.97051883388208,227,cusum,-3.0,6,,
272,254,18,0.5215605749486653,0.9338235294117647,13.0,254,18,0.5215605749486653,231,11,0.47433264887063653,226,7,0.46406570841889117,214,5,0.4394250513347023,158,4,0.324435318275154,127.38503470755904,226,cusum,-3.0,6,,
