corpus,group,relative,concordant,pairs,n_events,auc_trap_high,event_kind,signal,variant
C,29,-4,4.0,17,2,0.23529411764705882,trap,query_exec_churn,residual_f0_primary
C,3,-4,10.0,45,11,0.2222222222222222,trap,query_exec_churn,residual_f0_primary
C,30,-4,16.0,52,8,0.3076923076923077,trap,query_exec_churn,residual_f0_primary
C,35,-4,2.0,15,1,0.13333333333333333,trap,query_exec_churn,residual_f0_primary
C,37,-4,0.0,12,1,0.0,trap,query_exec_churn,residual_f0_primary
C,38,-4,5.0,14,14,0.35714285714285715,trap,query_exec_churn,residual_f0_primary
C,39,-4,1.0,15,15,0.06666666666666667,trap,query_exec_churn,residual_f0_primary
C,4,-4,9.0,48,4,0.1875,trap,query_exec_churn,residual_f0_primary
C,40,-4,13.0,41,9,0.3170731707317073,trap,query_exec_churn,residual_f0_primary
C,42,-4,24.0,49,6,0.4897959183673469,trap,query_exec_churn,residual_f0_primary
C,44,-4,9.0,55,5,0.16363636363636364,trap,query_exec_churn,residual_f0_primary
C,47,-4,5.0,35,9,0.14285714285714285,trap,query_exec_churn,residual_f0_primary
C,48,-4,43.0,60,6,0.7166666666666667,trap,query_exec_churn,residual_f0_primary
C,49,-4,8.0,48,12,0.16666666666666666,trap,query_exec_churn,residual_f0_primary
C,8,-4,7.0,18,6,0.3888888888888889,trap,query_exec_churn,residual_f0_primary
C,9,-4,11.0,28,2,0.39285714285714285,trap,query_exec_churn,residual_f0_primary
C,0,-2,14.0,56,6,0.25,trap,query_exec_churn,residual_f0_primary
C,1,-2,12.0,38,13,0.3157894736842105,trap,query_exec_churn,residual_f0_primary
C,10,-2,14.0,41,11,0.34146341463414637,trap,query_exec_churn,residual_f0_primary
C,11,-2,18.0,45,5,0.4,trap,query_exec_churn,residual_f0_primary
C,12,-2,44.0,60,8,0.7333333333333333,trap,query_exec_churn,residual_f0_primary
C,13,-2,7.0,36,12,0.19444444444444445,trap,query_exec_churn,residual_f0_primary
C,15,-2,20.0,62,8,0.3225806451612903,trap,query_exec_churn,residual_f0_primary
C,16,-2,14.0,37,4,0.3783783783783784,trap,query_exec_churn,residual_f0_primary
C,19,-2,28.0,63,7,0.4444444444444444,trap,query_exec_churn,residual_f0_primary
C,21,-2,2.0,27,11,0.07407407407407407,trap,query_exec_churn,residual_f0_primary
C,26,-2,14.0,50,9,0.28,trap,query_exec_churn,residual_f0_primary
C,27,-2,16.0,54,9,0.2962962962962963,trap,query_exec_churn,residual_f0_primary
C,29,-2,0.0,13,1,0.0,trap,query_exec_churn,residual_f0_primary
C,3,-2,10.0,41,11,0.24390243902439024,trap,query_exec_churn,residual_f0_primary
C,30,-2,23.0,49,8,0.46938775510204084,trap,query_exec_churn,residual_f0_primary
C,35,-2,7.0,12,1,0.5833333333333334,trap,query_exec_churn,residual_f0_primary
C,37,-2,1.0,4,1,0.25,trap,query_exec_churn,residual_f0_primary
C,38,-2,3.0,12,12,0.25,trap,query_exec_churn,residual_f0_primary
C,39,-2,2.0,15,15,0.13333333333333333,trap,query_exec_churn,residual_f0_primary
C,4,-2,5.0,48,4,0.10416666666666667,trap,query_exec_churn,residual_f0_primary
C,40,-2,12.0,36,9,0.3333333333333333,trap,query_exec_churn,residual_f0_primary
C,42,-2,9.0,41,5,0.21951219512195122,trap,query_exec_churn,residual_f0_primary
C,44,-2,7.0,42,5,0.16666666666666666,trap,query_exec_churn,residual_f0_primary
C,47,-2,7.0,31,9,0.22580645161290322,trap,query_exec_churn,residual_f0_primary
C,48,-2,28.0,60,6,0.4666666666666667,trap,query_exec_churn,residual_f0_primary
C,49,-2,6.0,48,12,0.125,trap,query_exec_churn,residual_f0_primary
C,8,-2,8.0,10,2,0.8,trap,query_exec_churn,residual_f0_primary
C,9,-2,12.0,28,2,0.42857142857142855,trap,query_exec_churn,residual_f0_primary
C,0,-4,9.0,28,2,0.32142857142857145,static,query_support_churn,residual_f0_primary
C,1,-4,6.0,63,9,0.09523809523809523,static,query_support_churn,residual_f0_primary
C,10,-4,5.0,39,3,0.1282051282051282,static,query_support_churn,residual_f0_primary
