fold,suite,method,scope,budget,global_row,first_alarm,failed_goal_release,drop_goal_release,reason
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1558,18,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1560,18,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1561,18,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1563,13,15.0,15.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1564,18,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1565,18,18.0,18.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,1566,18,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,2077,18,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2857,13,6.0,6.0,object_released_outside_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2861,14,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2883,-1,,,timeout_while_holding_target
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2896,14,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2897,14,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2898,14,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,2903,14,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3011,14,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3013,14,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3056,14,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3058,14,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3061,14,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3062,19,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3082,14,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3086,24,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3088,13,6.0,6.0,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3089,14,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3090,13,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3626,21,6.0,6.0,object_released_outside_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3632,21,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3633,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3637,20,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3808,17,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3809,14,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3810,16,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3811,15,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,unseen,0.05,3812,20,,,object_moved_but_goal_unmet
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,4713,13,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,4716,13,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,4719,14,,,object_released_or_dropped_before_goal
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5200,-1,,,stable_grasp_not_observed
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5201,26,,,stable_grasp_not_observed
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5202,26,10.0,10.0,object_released_outside_goal
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5204,26,,,stable_grasp_not_observed
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5205,25,,,stable_grasp_not_observed
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5206,26,,,stable_grasp_not_observed
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5207,-1,13.0,13.0,object_released_outside_goal
libero_goal_20260907,libero_goal,success_calibration_budget,seen,0.05,5525,22,9.0,9.0,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1272,19,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1273,19,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1274,24,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1276,19,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1278,19,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1404,19,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1406,19,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1418,27,14.0,14.0,object_released_outside_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1419,19,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1420,25,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1422,24,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,1423,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,2077,19,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,2883,-1,,,timeout_while_holding_target
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3626,21,6.0,6.0,object_released_outside_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3632,21,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3633,21,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3637,20,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3808,20,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3809,15,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3810,16,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3811,16,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,unseen,0.05,3812,20,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4576,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4577,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4578,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4579,15,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4580,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4581,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,4583,15,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,unlabeled_reference_budget,seen,0.05,6884,15,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1272,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1273,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1274,19,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1276,19,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1278,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1404,18,14.0,14.0,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1406,18,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1418,18,14.0,14.0,object_released_outside_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1419,18,16.0,16.0,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1420,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1422,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,1423,18,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,2077,18,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,2883,-1,,,timeout_while_holding_target
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3626,21,6.0,6.0,object_released_outside_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3632,21,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3633,20,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3637,20,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3808,16,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3809,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3810,16,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3811,15,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,unseen,0.05,3812,16,,,object_moved_but_goal_unmet
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,4576,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,4577,13,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,4578,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,4579,14,,,object_released_or_dropped_before_goal
libero_goal_20260908,libero_goal,success_calibration_budget,seen,0.05,4580,13,,,object_released_or_dropped_before_goal
